,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,total_weighted_landing_price
6233,15374963,7811488,7811488,2022-04-28,Delhi,118317335,189311882,6688431,1,301.0,0.0,389715,241.4138
6234,15992659,606763,606763,2022-07-06,Delhi,136638134,232326878,16171618,1,139.0,0.0,483951,98.000068
6235,26175264,3978074,3978074,2022-06-07,HR-NCR,128756952,216226442,13720324,1,185.0,0.0,11184,177.57132
6236,18008844,2622948,2622948,2022-07-04,Delhi,135859205,229808221,4429385,3,10.0,0.0,3898,15.0
6237,27760114,5562924,5562924,2022-06-08,Bengaluru,129088964,217062565,2394365,1,42.0,0.0,369752,35.0
6238,7253722,7253722,7253722,2022-04-12,Mumbai,114782827,180122446,17548024,1,37.0,0.0,459720,30.4
6239,1762462,1762462,1762462,2022-04-02,Delhi,112587778,171312666,8153717,1,113.0,0.0,86962,89.994835
6240,42209720,1879040,1879040,2022-05-18,Delhi,123564136,200189172,2893266,1,114.0,0.0,439927,92.40763
6241,41471471,1140791,1140791,2022-05-15,Bengaluru,122732341,157228839,11106505,1,16.0,0.0,396897,16.599447
6242,18005729,2619833,2619833,2022-07-02,HR-NCR,135409354,230033183,1649714,1,56.0,0.0,68577,31.203085
6243,6946540,6946540,6946540,2022-04-12,Bengaluru,114734050,179987431,4150124,2,45.0,0.0,542,78.21
6244,17940806,2554910,2554910,2022-07-05,Mumbai,136250061,232023889,20567281,1,36.0,0.0,25268,31.588291
6245,11139917,3576442,3576442,2022-04-21,Delhi,116744003,185218683,5912391,1,25.0,0.0,333785,19.0
6246,10163052,2599577,2599577,2022-04-19,Delhi,116119651,183600460,14142911,1,38.0,0.0,445396,28.0
6247,25806237,3609047,3609047,2022-06-08,Delhi,129130317,215238370,18559902,1,64.0,0.0,23691,64.803154
6248,27925674,5728484,5728484,2022-06-09,HR-NCR,129210204,212659377,1310692,1,45.0,0.0,389808,33.0
6249,30176948,1781324,1781324,2022-06-13,HR-NCR,130380284,220226216,19115802,1,37.0,0.0,283,34.398502
6250,5140336,5140336,5140336,2022-04-01,Delhi,112377455,171573001,13958890,1,14.0,0.0,4916,13.0
6251,14628514,7065039,7065039,2022-04-16,Delhi,115647662,182352193,7705008,1,112.0,0.0,379583,90.0
